"domain","key","issue"
"ALL","all XPT domains","STUDYID changed to CDISCPILOT02."
"EX","01-701-1028 EXSEQ 1; 01-701-1034 EXSEQ 2; 01-701-1097 EXSEQ 1","Selected exposure datetime values are date-only with missing time components."
"EX","01-701-1028 EXSEQ 1 and 2","Exposure intervals overlap on 2013-08-01."
"EX","01-701-1034 EXSEQ 1 and 2","Exposure intervals have a one-day gap on 2014-07-16."
"PC","01-701-1028 PCSEQ 4 and 5","Duplicate actual PK collection datetime with unique PCSEQ and distinct nominal times."
"PC","01-701-1028 PCSEQ 10","Missing actual PK collection datetime with nominal time retained."
"PC","01-701-1034 PCSEQ 7","Partial actual PK collection datetime with hour precision only."
"PC","01-701-1034 PCSEQ 2","BLQ character result retained while PCSTRESN remains numeric."
"VS","01-701-1015 VSSEQ 142 and 143","Two weight records are flagged as baseline."
"AE","01-701-1015 AESEQ 3","AEENDTC is before AESTDTC."
"LB","01-701-1015 LBSEQ 1, LBTESTCD ALB","LBSTRESN is missing while LBSTRESC remains populated."
"DM","01-701-1028","RFXSTDTC is missing for a treated subject."
"SV","01-701-1028 VISITNUM 4","SVENDTC is before SVSTDTC."
